date,open,high,low,close,adjclose,changed,changep,volume
2015-08-27,197.1,199.42,195.21,199.27,186.8118,4.509,0.024700000000000003,274143906
2015-08-28,198.5,199.835,197.92,199.28,186.8212,0.009,1e-4,160414352
2015-08-31,198.2,199.125,197.01,197.67,185.3119,-1.509,-0.008100000000000001,163298816
2015-09-01,193.12,194.77,190.73,191.77,179.7807,-5.531,-0.0298,256000392
2015-09-02,194.69,195.46,192.42,195.41,183.1931,3.412,0.019,160269331
2015-09-03,196.26,198.05,194.96,195.55,183.3244,0.131,7.000000000000001e-4,152087836
2015-09-04,192.85,193.86,191.61,192.59,180.5495,-2.775,-0.0151,207080961
2015-09-08,195.94,197.61,195.17,197.43,185.08690000000001,4.537,0.025099999999999997,116025739
2015-09-14,196.95,197.01,195.43,196.01,183.7556,-0.684,-0.0037,79451983
2015-09-17,200.02,202.89,199.28,199.73,187.2431,-0.422,-0.0022,276046618
2015-09-18,195.71,198.6844,194.96,195.45,184.1836,-3.059,-0.0163,223657456
2015-09-22,193.88,194.46,192.56,193.91,182.7324,-2.403,-0.013000000000000001,153890876
